County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Hale County, Texas",28.44,25.07,25.27,17.74,13.3
"Genesee County, New York",28.43,25.72,40.15,40.36,39.91
"Essex County, New Jersey",28.41,33.42,35.29,39.64,41.04
"Dickinson County, Michigan",28.4,35.68,52.64,33.38,41.12
"Middlesex County, Connecticut",28.4,28.25,38.46,36.28,37.37
"Livingston County, New York",28.37,22.81,22.17,23.02,21.59
"Crane County, Texas",28.28,17.14,6.26,6.45,6.63
"Jackson County, Iowa",28.27,34.48,42.96,22.53,40.06
"Taylor County, Wisconsin",28.04,40.68,43.37,36.97,31.09
"Orleans Parish, Louisiana",28.03,30.85,28.14,34.48,31.92
"Socorro County, New Mexico",27.98,39.38,27.15,48.77,60.97
"Ontario County, New York",27.97,23.56,26.73,26.46,24.01
"Price County, Wisconsin",27.93,31.8,31.29,29.05,30.34
"Houston County, Minnesota",27.86,25.48,35.44,37.14,32.46
"Pondera County, Montana",27.84,14.63,30.71,24.28,19.58
"Mercer County, New Jersey",27.79,33.19,31.16,34.61,33.75
"Wibaux County, Montana",27.75,65.19,40.73,33.59,32.79
"Montgomery County, Maryland",27.66,12.61,21.2,22.46,23.23
"Monroe County, New York",27.6,25.68,35.71,32.74,32.75
"Colfax County, New Mexico",27.59,24.92,46.32,53.42,54.04
"Pine County, Minnesota",27.58,15.3,17.04,14.1,20.61
"Portage County, Wisconsin",27.56,40.73,47.49,53.48,54.02
"Siskiyou County, California",27.56,9.11,13.96,10.88,14.64
"Bexar County, Texas",27.55,30.84,41.22,37.57,37.77
"Anderson County, Kansas",27.53,21.65,24.11,35.99,27.21
"Campbell County, Kentucky",27.53,27.12,28.07,31.35,27.2
"Franklin County, Washington",27.5,9.57,31.75,15.16,12.91
"Grant County, Washington",27.49,16.27,17.38,11.9,10.93
"Marinette County, Wisconsin",27.47,24.08,38.5,34.12,33.26
"Wilson County, Texas",27.34,28.17,37.77,37.66,38.3
"Washington County, Wisconsin",27.33,30.29,37.26,34.48,36.73
"Chouteau County, Montana",27.28,59.09,71.89,53.8,46.34
"Seneca County, Ohio",27.25,33.14,38.28,27.41,39.84
"Shelby County, Ohio",27.17,27.02,28.13,29.68,27.59
"Albany County, New York",27.14,28.03,46.98,57.56,39.09
"Colonial Heights city, Virginia",27.13,16.54,14.59,,
"Sarasota County, Florida",27.07,20.03,19.93,11.03,10.67
"Riverside County, California",26.96,27.53,28.24,17.26,13.15
"St. Charles County, Missouri",26.95,23.73,27.86,26.07,23.97
"Roosevelt County, New Mexico",26.94,16.87,25.14,18.38,21.03
"Burleigh County, North Dakota",26.89,24.81,36.36,28.57,27.82
"Contra Costa County, California",26.83,21.77,21.51,22.4,21.38
"Cuyahoga County, Ohio",26.82,28.63,34.86,37.87,41.52
"Faulk County, South Dakota",26.82,37.06,41.1,29.77,36.07
"Hunterdon County, New Jersey",26.82,36.71,35.71,25.05,22.92
"Westmoreland County, Pennsylvania",26.79,33.32,35.57,40.67,39.56
"Haakon County, South Dakota",26.76,34.49,46.63,29.04,24.87
"Murray County, Minnesota",26.63,26.7,29.65,29.98,25.59
"Calhoun County, Texas",26.61,14.92,15.75,53.91,59.13
"Beaver County, Pennsylvania",26.57,27.03,35.51,35.9,37.07
"Harding County, South Dakota",26.54,40,26.9,16.72,17.53
"Hillsborough County, Florida",26.52,10.65,16.63,14.47,10.55
"Charlotte County, Florida",26.48,22.13,18.35,10.76,11.42
"Door County, Wisconsin",26.43,33.56,36.72,35.55,22.53
"Jefferson County, Texas",26.4,28.23,25.36,26.53,25.44
"Androscoggin County, Maine",26.39,22.73,37.63,33.37,38.96
"Benton County, Minnesota",26.38,27.41,38.23,47.7,54.81
"Victoria County, Texas",26.32,36.08,38.01,46.54,32.72
"Hartford County, Connecticut",26.17,31.12,38.39,44.93,49.34
"Clark County, Nevada",26.16,18.15,17.2,14.71,13.66
"Iberville Parish, Louisiana",26.13,33.15,33.18,41.17,32.87
"Live Oak County, Texas",26.1,29.09,17.91,40.18,21.05
"Martin County, Minnesota",26.08,18.12,15.91,15.81,18.37
"Carver County, Minnesota",26.02,16.35,28.33,23.69,24.59
"Kern County, California",26.01,29.28,25.46,13.8,19.82
"Santa Clara County, California",26,25.11,28.71,24.61,15.67
"Cheyenne County, Colorado",25.97,15.25,27.97,31.5,37.16
"Plymouth County, Iowa",25.97,34.14,35.44,34.57,31.69
"Lewis County, Idaho",25.9,9.76,15.8,18.46,19.04
"Atascosa County, Texas",25.89,30.36,40.64,36.83,43.76
"Archer County, Texas",25.85,11.24,15.44,21.23,17.22
"Hanson County, South Dakota",25.83,35.54,33.04,43.85,26.71
"Santa Cruz County, California",25.83,19.25,21.65,17.44,12.32
"Lee County, Texas",25.83,10.62,7.26,4.32,5.48
"McHenry County, Illinois",25.82,35.13,29.39,29.08,26.48
"Washington County, Texas",25.75,18.13,20.25,11.51,9.93
"Dakota County, Nebraska",25.73,21.89,19.12,20.62,25.11
"Treasure County, Montana",25.72,39.55,22.3,17.16,15.9
"Washington County, Vermont",25.7,21.5,26.06,22.11,30.66
"Whiteside County, Illinois",25.7,17.5,22.74,20.23,16.97
"St. Louis County, Missouri",25.58,23.07,29.62,31.96,32.01
"New Castle County, Delaware",25.57,25.66,25.31,23.77,23.38
