County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Florence County, South Carolina",0.11,0.11,0.17,0.18,0.17
"Tarrant County, Texas",0.11,0.18,0.35,0.38,0.11
"Gloucester County, New Jersey",0.11,0.02,0.07,2.48,0.04
"Ada County, Idaho",0.11,0.16,0.27,0.11,0.02
"Highlands County, Florida",0.11,0.13,0.01,,
"Galveston County, Texas",0.1,0.1,0.82,0.37,0.33
"Lauderdale County, Mississippi",0.1,0.1,0.04,0,0.21
"Brevard County, Florida",0.1,0.1,1.05,0.75,0.18
"Richland County, Ohio",0.1,0.1,0.12,0.2,0.09
"Winnebago County, Wisconsin",0.1,,0.11,0.11,0.08
"Eau Claire County, Wisconsin",0.1,0.11,0.16,0,0.03
"Berkeley County, South Carolina",0.1,,,0.89,0
"La Crosse County, Wisconsin",0.1,0.09,0.09,0.15,0
"Kitsap County, Washington",0.1,0.14,1.38,,
"Jefferson County, Texas",0.09,0.12,0.24,0.26,0.21
"Winnebago County, Illinois",0.09,0.13,0.4,0.35,0.19
"Fresno County, California",0.09,0.12,0.29,0.3,0.13
"Coconino County, Arizona",0.09,0.13,0.43,0.26,0
"Okaloosa County, Florida",0.09,0.11,0.01,,
"Vigo County, Indiana",0.08,0.1,0.19,0.31,0.32
"San Joaquin County, California",0.08,0.11,0.15,0.33,0.21
"Muskegon County, Michigan",0.08,0.1,0.12,0.15,0.17
"Tuscaloosa County, Alabama",0.08,0.09,0.18,0.2,0.15
"Kent County, Delaware",0.08,0.11,1.26,0.59,0.11
"Manatee County, Florida",0.08,0.02,1.52,0,0.04
"Montgomery County, Texas",0.08,0.12,0.54,1.29,0
"Jackson County, Missouri",0.07,0.12,1.08,1.22,0.91
"Riverside County, California",0.07,0.09,1.28,1,0.47
"Clark County, Ohio",0.07,0.15,0.14,0.82,0.17
"Calcasieu Parish, Louisiana",0.07,0.08,0.11,0.18,0.14
"Linn County, Iowa",0.07,0.15,0.22,0.25,0.12
"Pierce County, Washington",0.07,0.1,0.29,0.19,0.12
"Honolulu County, Hawaii",0.07,0.08,0.73,0,0.12
"Dubuque County, Iowa",0.07,0.07,0.1,0,0.1
"Pennington County, South Dakota",0.07,0.08,0.09,0,0.07
"Wayne County, Ohio",0.07,0.1,0.16,0.12,0.06
"Spartanburg County, South Carolina",0.07,0.11,0.2,0.17,0.03
"Clark County, Washington",0.07,0.08,0.17,0.63,0
"Benton County, Washington",0.07,0.08,0.21,0.1,0
"Harrison County, Mississippi",0.07,0.07,0.13,0.09,0
"Marion County, Florida",0.07,0.12,0.19,0.05,0
"McLennan County, Texas",0.06,0.2,0.14,0.24,0.33
"Sumter County, South Carolina",0.06,0.11,0.13,0.17,0.22
"Outagamie County, Wisconsin",0.06,0.08,0.19,0.18,0.1
"Butler County, Ohio",0.06,0.12,0.27,0.31,0.06
"Rock County, Wisconsin",0.06,0.06,0.08,0.09,0.05
"Brown County, South Dakota",0.06,0.07,0.21,0,0.03
"Clackamas County, Oregon",0.06,0.07,0.92,0.5,0
"Cochise County, Arizona",0.06,0.06,0.3,0.26,0
"Clearfield County, Pennsylvania",0.06,0.06,0.24,,
"Lycoming County, Pennsylvania",0.05,0.1,0.1,0.35,0.29
"Kay County, Oklahoma",0.05,0.08,0.05,0,0.12
"Lake County, Ohio",0.05,0.05,0.88,3.62,0.09
"Westmoreland County, Pennsylvania",0.05,0.08,0.73,2.01,0.09
"Lubbock County, Texas",0.05,0.08,0.09,0.1,0.09
"Polk County, Florida",0.05,0.07,0.27,0,0.06
"Stanislaus County, California",0.05,0.07,0.11,0.12,0.05
"Snohomish County, Washington",0.05,0.05,0.26,1.57,0
"Yakima County, Washington",0.05,0.06,0.07,0.05,0
"Sutter County, California",0.05,0.06,,,
