County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Sampson County, North Carolina",48.25,36.59,29.91,35.19,34.87
"Pulaski County, Kentucky",48.15,50.53,60.33,65.51,49.23
"Danville city, Virginia",48.14,44.91,32.94,,
"Lincoln County, Kansas",48.08,41.13,30.35,32.03,33.41
"Wayne County, Illinois",47.99,46.72,48.84,46.13,43.94
"Marshall County, Alabama",47.96,46.99,53.34,51.85,49.27
"Washita County, Oklahoma",47.93,57.11,64.3,59.11,49.92
"Laclede County, Missouri",47.86,40.89,39.79,39.86,37.14
"Johnson County, Tennessee",47.85,44.85,46.28,60.41,57.26
"Pawnee County, Oklahoma",47.77,43.62,51.63,53.64,45.65
"Scotland County, Missouri",47.77,13.81,38.61,33.95,42.71
"Caddo Parish, Louisiana",47.73,36.94,38.07,36.68,30.72
"Motley County, Texas",47.7,68.68,62.48,69.97,76.21
"Wood County, Texas",47.67,41.42,49.54,56.77,51.68
"Columbia County, Arkansas",47.67,30.49,51.73,46.21,42.01
"Blount County, Alabama",47.63,50.98,42.59,55.39,49.61
"Knox County, Texas",47.6,57.25,75.45,72.19,71.89
"Alexander County, North Carolina",47.51,44.88,49.6,53.99,53.59
"Wilkes County, North Carolina",47.49,49.32,50.01,54.63,53.3
"Franklin County, Alabama",47.49,52.78,58.06,49.36,45.01
"Coleman County, Texas",47.45,45.97,40.35,44.28,52.79
"Lincoln County, Tennessee",47.41,51.13,53.23,55.35,54.5
"Sullivan County, Tennessee",47.41,39.28,33.51,32.42,28.48
"Randolph County, Arkansas",47.4,48.36,44.47,48.83,34.59
"Dyer County, Tennessee",47.39,43.9,45.52,50.54,48.58
"Grainger County, Tennessee",47.26,49.58,60.87,74.23,70.95
"Covington County, Mississippi",47.03,39.42,48.44,53.09,42.96
"McIntosh County, Oklahoma",46.98,36.28,38.02,47.37,43.1
"Moore County, Texas",46.95,35.89,35.05,47.09,40.89
"Stephens County, Georgia",46.79,53.53,61.31,57.61,55.76
"Jessamine County, Kentucky",46.78,15.8,43.43,18.39,19.36
"Upson County, Georgia",46.75,46,50.89,48.44,39.89
"Hardin County, Tennessee",46.67,44.43,41.05,37.71,32.81
"Lake County, Tennessee",46.64,41.45,44.67,49.46,50.32
"Texas County, Missouri",46.55,50.52,57.83,57.52,46.16
"Pike County, Mississippi",46.52,44.85,54.39,44.91,43.93
"Union County, Kentucky",46.52,37.06,39.79,39.29,36.58
"Jefferson County, Tennessee",46.46,42.22,40.95,49.19,47.55
"Chelan County, Washington",46.4,18.74,12.88,16.84,13.58
"Coke County, Texas",46.36,50.75,63.02,67.96,61.67
"New Madrid County, Missouri",46.26,39.1,40.44,41.19,38.93
"Scott County, Arkansas",46.2,48.38,52.76,52.92,43.77
"Hale County, Texas",46.18,59.96,53.34,62.74,55.7
"Rapides Parish, Louisiana",46.17,44.76,39.91,38.08,34.47
"Grenada County, Mississippi",46.14,49.97,35.38,37.96,30.8
"Crockett County, Tennessee",46.13,52.64,46.25,50.4,44.41
"Douglas County, South Dakota",46.07,47.73,60.41,51.71,42.53
"Wilkes County, Georgia",46.03,37.51,33.08,35.8,34.65
"Upton County, Texas",46.01,44.26,41.48,73.91,57.03
"Leake County, Mississippi",46.01,42.7,43.8,48.76,42.82
"Jefferson County, Alabama",46.01,46.92,39.07,41.87,35.7
"McDuffie County, Georgia",45.99,40.63,35.13,34.23,28.45
"Fulton County, Kentucky",45.97,59.18,65.67,67.84,65.44
"Sevier County, Tennessee",45.97,42.04,40.6,46.69,50.59
"Decatur County, Tennessee",45.96,44.36,47.42,41.77,34.19
"Putnam County, Missouri",45.93,43.2,46.85,45.6,37.03
"Rabun County, Georgia",45.87,50.37,35.52,41.15,43.11
"Taylor County, Texas",45.82,49,48.24,51.06,44.56
"Amherst County, Virginia",45.77,29.75,20.58,21.12,18.7
"Henry County, Tennessee",45.59,47.88,51.96,50.9,46.81
"Hopkins County, Kentucky",45.55,43.77,42.73,41.59,37.19
"Bradley County, Arkansas",45.54,50.27,57.85,61.34,44.74
"Walker County, Georgia",45.54,49.52,44.26,42.96,43.09
"Howard County, Arkansas",45.51,40.63,58.61,51.06,60.69
"Craighead County, Arkansas",45.49,46.23,51.34,53.66,49.89
"Newton County, Mississippi",45.47,48.32,52.34,49.17,47.38
"Miller County, Georgia",45.43,32,41.47,43.71,25.19
"Caldwell Parish, Louisiana",45.33,54.9,42.01,51.39,37.78
"Nowata County, Oklahoma",45.32,24.35,40.36,46.72,40.43
"Henry County, Virginia",45.25,39.67,28.55,31.8,26.64
"Yadkin County, North Carolina",45.21,43.38,32.14,38.67,39.5
"Columbia County, Florida",45.19,27.94,21.86,29.09,30.39
"Hampton County, South Carolina",45.14,36.59,28.51,34.77,33.94
"Attala County, Mississippi",45.12,43.8,43.96,46.86,44.19
"Oklahoma County, Oklahoma",45.1,45.32,42.35,42.97,36.18
"Ochiltree County, Texas",45.08,42.12,43.83,43.14,32.91
"Izard County, Arkansas",45.07,41.27,46.91,43.6,43.82
"Miller County, Arkansas",45.06,45.86,49.25,45.43,44.87
"Lincoln County, Kentucky",45,53.14,59.2,57.76,60.36
"Lowndes County, Mississippi",44.96,44.42,41.01,40.11,30.71
"Barnwell County, South Carolina",44.95,47.57,41.55,48.1,47.02
"Garrard County, Kentucky",44.95,45.54,40.01,38.66,42.25
"Carroll County, Tennessee",44.86,45.18,48.51,42.86,40.08
"Burke County, North Carolina",44.85,45.6,46.99,49.65,47.06
"Knox County, Missouri",44.85,34.2,31.71,29.94,33.61
"Lipscomb County, Texas",44.82,37.7,43.51,53.93,37.1
"St. Clair County, Alabama",44.8,40.75,41.7,46.52,45.89
"Fredericksburg city, Virginia",44.79,103.57,36.53,,
"Hamilton County, Illinois",44.75,37.77,40.66,40.76,43.46
"Henry County, Alabama",44.75,34.82,52.56,51.56,42.28
"Monroe County, Arkansas",44.71,49.49,46.57,34.72,34.85
"Shackelford County, Texas",44.7,59.21,70.56,63.57,52.26
"Clay County, Mississippi",44.69,40.19,34.03,34.86,32.13
"Cochran County, Texas",44.64,48.96,76.46,76.49,58.11
"Calloway County, Kentucky",44.61,44.46,44.57,46.11,45.5
"Floyd County, Georgia",44.59,47.75,53.77,53.18,48.21
"Stokes County, North Carolina",44.55,25.22,25.55,26.64,27.36
"Webster Parish, Louisiana",44.5,46.08,50.92,46.9,45.44
"Pearl River County, Mississippi",44.49,47.74,54.56,62.75,55.7
"Polk County, Arkansas",44.39,42.53,47.93,51.7,45.05
"Sharkey County, Mississippi",44.39,42.74,30.47,35.03,31.84
"Grant County, Kentucky",44.34,45.93,42.06,53.15,53.68
"Sabine County, Texas",44.34,42.49,55.29,36.14,41.65
"Hardeman County, Tennessee",44.31,43.68,38.49,48.08,43.4
"Vernon Parish, Louisiana",44.3,41.91,38.76,33.84,31.96
"Chester County, Tennessee",44.28,40.82,43.31,43.72,38.01
"Desha County, Arkansas",44.2,47.46,51.15,44.65,39.61
"Barton County, Missouri",44.2,37.35,37.93,40.36,38.2
