County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Richmond County, North Carolina",7.36,8.41,,29.11,21.44
"Winn Parish, Louisiana",7.34,2.77,,11.79,1.43
"Barnwell County, South Carolina",7.34,2.29,,19.18,1.03
"Richland County, South Carolina",7.31,7.41,,11.65,1.48
"Benton County, Mississippi",7.22,3.68,,17.6,23.73
"Pope County, Illinois",7.18,,,,
"Black Hawk County, Iowa",7.17,6.95,,2.27,0
"Leon County, Florida",7.14,8.06,2.18,7.56,0.14
"Allen County, Indiana",7.1,2.84,,3.41,0
"Fulton County, Kentucky",7.09,6.96,,5.53,2.72
"Monroe County, Georgia",7.08,7.3,,20.11,1.78
"Chatham County, Georgia",7.04,10.68,0.01,15.76,0.59
"Jefferson County, Kentucky",7.02,4.76,0.09,8.37,2.39
"Montgomery County, Ohio",7.02,3.97,,6.17,1.2
"Ouachita Parish, Louisiana",7,5.79,,7.99,1.1
"Mahoning County, Ohio",6.96,4.04,,5.59,0.77
"Stone County, Mississippi",6.96,1.03,,6.72,0.35
"Pearl River County, Mississippi",6.94,1.99,,4.52,0
"Charlton County, Georgia",6.92,7.38,,11.63,0
"Wells County, Indiana",6.92,,,,
"Newton County, Texas",6.91,8.38,,7.58,8.85
"Lake County, Indiana",6.91,5.13,,10.42,1.95
"Lawrence County, Alabama",6.89,2.75,0.25,6.99,3.96
"Genesee County, Michigan",6.84,4.88,,7.24,0.14
"Irwin County, Georgia",6.79,5.83,,18.3,0
"Telfair County, Georgia",6.76,9.5,,20.39,16.6
"Little River County, Arkansas",6.74,4.68,,6.4,9.02
"Jackson County, Missouri",6.73,5.15,,7.45,0.34
"Richland Parish, Louisiana",6.72,8.23,,15.01,0.25
"Isle of Wight County, Virginia",6.7,4.91,,9.77,0
"Madison County, Alabama",6.68,2,3.1,9.09,0.76
"Nacogdoches County, Texas",6.65,3.99,,5.36,6.32
"East Baton Rouge Parish, Louisiana",6.59,8.01,,8.88,0.06
"Vernon Parish, Louisiana",6.59,6.79,,6.12,0.02
"Dooly County, Georgia",6.55,1.52,,54.18,12.71
"Titus County, Texas",6.55,3.11,,4.52,1.74
"Tallapoosa County, Alabama",6.5,8.47,,16.67,7.38
"Lamar County, Alabama",6.48,7.45,,4.23,5.26
"Beaufort County, North Carolina",6.47,4.59,,31.07,25.93
"Yalobusha County, Mississippi",6.46,13.06,,22.75,21.2
"Washington County, Alabama",6.45,9.22,,26.84,12.59
"Vance County, North Carolina",6.45,5.82,,18.94,1.92
"Darlington County, South Carolina",6.45,6.16,,12.44,0
"Sevier County, Arkansas",6.45,1.15,,1.75,0
"Marion County, Texas",6.44,2.84,,14.19,0.73
"Giles County, Tennessee",6.44,5.11,0.85,0.46,0
"Wilkes County, Georgia",6.4,5.67,,27.95,5.49
"Elbert County, Georgia",6.39,6.34,,17.81,8.63
